epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_necrotic_non_enhancing,val_dice_edema,val_dice_enhancing
1,0.001,0.38989640588943775,0.3146488556967062,0.7559458295650342,0.6055424430078062,0.6210738301807203,0.8112543024750112
2,0.001,0.20026553402153346,0.295655474285869,0.7310250024585163,0.5646935928880652,0.6633119949375044,0.7067085281069758
3,0.001,0.17673014476895332,0.28938583405140567,0.7613324474762467,0.6282151729673874,0.635149048303618,0.7924285056445591
4,0.001,0.16707196229925522,0.2967460981624968,0.7564470316557323,0.5836506620834249,0.6854954159515467,0.7673872188815731
5,0.001,0.1545682211048328,0.2899262536974514,0.7583248212057001,0.5801254645989699,0.7097419579672838,0.7557013040589959
6,0.001,0.14654993274464057,0.29162903414929614,0.7475728449576041,0.5463551813427391,0.7046793719151516,0.7525713190862757
7,0.001,0.14376912266016006,0.2863636277616024,0.7508360489326364,0.5974293624576543,0.6666085130229872,0.7490132637518029
8,0.0005,0.14218677952885628,0.2940557675764841,0.7565261752289885,0.5862616003571934,0.6682397878665655,0.7818567383045492
9,0.0005,0.1296999349903602,0.2954817758325268,0.7375867465401397,0.551416689513061,0.6878181591650396,0.7220693526441987
10,0.0005,0.13394346697112688,0.2864879993174006,0.7730179457541775,0.5938702223575489,0.6971553325887581,0.8104473669072007
11,0.0005,0.12596766364115936,0.3045188690371373,0.7488875211599995,0.5709269519916221,0.6481213690357333,0.7862368054438194
12,0.0005,0.12392035559392893,0.28908373174421925,0.7664193964618093,0.5856805578693195,0.6904414861548768,0.7993726693964613
13,0.0005,0.12526673708970731,0.28906809812521234,0.7626838651211822,0.5865182127479462,0.6804955943359966,0.7937443462913708
14,0.0005,0.1218345898275192,0.2944212371812147,0.7546354573877418,0.5879460452550793,0.6886913200157864,0.7515953825917455
15,0.00025,0.12076199130656627,0.2955264503903249,0.765766437001088,0.5805114035484231,0.6828611015448235,0.8095077479309726
16,0.00025,0.11895105612392609,0.29377203631926985,0.7664041876354638,0.583900532072853,0.7128669102481081,0.7791798314765576
17,0.00025,0.11621347072605903,0.29961956686833324,0.7670828581732863,0.5791010157632968,0.6888147402845433,0.810670299317804
18,0.00025,0.11863677689375786,0.2883650716394186,0.7663914548123584,0.5924051632038914,0.6976656493673753,0.7852412979490966
19,0.00025,0.11683738661500123,0.2967102742370437,0.7689256597967709,0.5825155354182258,0.6900730384509863,0.8122933523800676
20,0.000125,0.11032065448279564,0.2952376891146688,0.7618389905375593,0.5885620090134378,0.685438221351867,0.7833205690964791
21,0.000125,0.10861244077006212,0.3000747449696064,0.7655251775594318,0.5828583012645245,0.6900485387673202,0.7991293729070947
22,0.000125,0.10473120686813042,0.2967845237649539,0.7635975160142955,0.5833104721578668,0.6941640001967281,0.786354322649756
