epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_necrotic_non_enhancing,val_dice_edema,val_dice_enhancing
1,0.001,0.44343031025849855,0.36229777292293663,0.6806162972660625,0.4539642637287998,0.5641892066149313,0.7170466105245592
2,0.001,0.21975701325214825,0.3145291906069307,0.7217574461418039,0.5603620279609975,0.5973022465823751,0.7425805063190336
3,0.001,0.1718717529796637,0.2868400943629882,0.7437549610348309,0.5360281437723812,0.6848859255006126,0.7661826098877595
4,0.001,0.15630580542179254,0.2837237991830882,0.7406043497955098,0.5427082718744932,0.6898590994717149,0.7419468463734823
5,0.001,0.14935616919627556,0.2820386671844651,0.7398561607388889,0.5456501147269531,0.7210117326084926,0.7057884458799142
6,0.001,0.14211800190118642,0.29824696086785374,0.7638130310703727,0.5456724542062179,0.6577670455052251,0.8626369319050724
7,0.001,0.13337372392416,0.3063218760139802,0.7475353979012546,0.5361990249254691,0.6682193361697354,0.7965372434943134
8,0.001,0.1343928945179169,0.28453151443425345,0.7692728288033429,0.5716026600672088,0.6778104956235045,0.8381985631435389
9,0.001,0.12766226071577805,0.2998560198089656,0.7582030226202572,0.5284681493074385,0.6464362709556309,0.8685174604181954
10,0.001,0.12427015585395006,0.3051779191283619,0.7002237693351858,0.37262184937982007,0.7201776136370266,0.7262392048792661
11,0.001,0.12672164869996216,0.29285842136425133,0.7660236376173356,0.538013788757536,0.7121593291650035,0.8270704681791953
12,0.001,0.13561455693382482,0.299924818908467,0.7718729245312074,0.5369881938627584,0.7280629861991498,0.837011735064591
13,0.001,0.12230226930517417,0.29905713437234654,0.7443052959792754,0.43245888275851097,0.7083776788073047,0.849105430519234
14,0.001,0.12200916220362369,0.2948497077997993,0.7643486699637245,0.5317009594789335,0.714051178119252,0.8219554540498388
15,0.001,0.11540994168474124,0.28825178479447083,0.744994077612372,0.47807330439261264,0.7086876594460518,0.803558134124232
16,0.001,0.11350127556003058,0.30092733221895557,0.7607056016431135,0.5360066114749802,0.7023305046029859,0.8153353129749009
17,0.0005,0.11717476071073459,0.29677872578887377,0.7651472004020915,0.5268196835062163,0.680195322225619,0.8639162798647592
18,0.0005,0.10806983778109917,0.28682274853481965,0.7652809392003452,0.46495826906313226,0.7383540616401111,0.8677973784577417
19,0.0005,0.10357336155497111,0.2825120648040491,0.7730146821807412,0.5308383544802283,0.7300729868759165,0.839883249860404
20,0.0005,0.10838707891794351,0.2821249146671856,0.7846812728573295,0.5446872161103787,0.7310729202914692,0.8724826085726224
21,0.0005,0.10404956495532623,0.2898179498665473,0.7761827111244202,0.5440136794302678,0.6954962745917662,0.8745768282852725
22,0.0005,0.1046940471117313,0.2955116138738744,0.7688007880659664,0.5227235778853445,0.6899276501927732,0.8718928644395146
23,0.0005,0.10429444909095764,0.2935284757438828,0.763011073364931,0.5433678592811917,0.6482960908700254,0.870802148526303
24,0.0005,0.10195315417188865,0.2884332463145256,0.7858428639524123,0.539539426659496,0.7358321532799316,0.8781899514076561
25,0.0005,0.10030915083793493,0.28902898816501393,0.7805983248878928,0.5343910605027447,0.7261371451726032,0.8710871902091635
26,0.0005,0.09946132239240867,0.28655496371143,0.7600312881609973,0.5379484371560642,0.7304562745192866,0.7813330331003382
27,0.0005,0.09919042163170301,0.2862176053664264,0.7554814885644352,0.49806853692559266,0.7255853995907908,0.8082246174978802
28,0.0005,0.09881472905667929,0.28323782323037877,0.7773399615989012,0.5424985873226879,0.7397208689762393,0.836521312864838
29,0.00025,0.10154385847541002,0.2848926510880975,0.7681320712846869,0.5359697543548042,0.7312800352175268,0.8142984781505083
30,0.00025,0.09534112487274866,0.2846665689173867,0.7755158455932841,0.5330055905028227,0.7336618333178109,0.8443780813456627
